,PM2.5,water_EQI_22July2013,land_EQI_22July2013,PCP Ratio,MHP Ratio,Dentist Ratio,FIPS,Latitude,Longitude,% Fair/Poor Health,Physically Unhealthy Days,Mentally Unhealthy Days,% No high school diploma,% Bachelors,Median household income,Healthcare Costs,Preventable Hosp. Rate,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% Insufficient Sleep,% With Access to Exercise,% Excessive Drinking,% Alcohol-Impaired Driving,% Uninsured,% Diabetic,% Unemployed,Income Ratio,Violent Crime Rate,Injury Death Rate,% Severe Housing Problems,% Long Commute - Drives Alone,Years of Potential Life Lost Rate,Chlamydia Rate,perc_pop_fluo,PrescribingRate
837,10.2,0.162395,0.6234245,2782,1614,1937,19097,42.139283,-90.566782,12.39137191,2.981333681,3.250518438,8.695652174,4449.280578,53539,8783.6,4569,15.38885413,31.3,7.9,30.9,26.85205225,74.74808545,19.88556609,22.22222222,5.243640622,10.2,3.417861081,3.998766797,82.25375283,71.90475701,9.602845288,39.1,6160.944549,174.9,0.796006944,31.5
838,9.4,-1.353644,0.8913804,2447,999,1946,19099,41.678374,-93.070038,12.02336921,2.844786225,3.277915397,8.625336927,6001.500149,56134,7103.78,3489,14.66100473,33.6,8.4,24.7,26.95352403,78.4702242,20.20969845,12,3.943384269,10.7,3.144458281,3.808291951,253.2541801,64.66899258,11.36127468,35.8,7090.198577,268.8,0.923089401,60.2
839,9.9,-1.424848,0.4808439,1392,877,1675,19101,41.013171,-91.964603,13.93705622,3.217014883,3.125127163,8.928571429,2632.689144,47907,9457.16,3512,15.31361032,28.6,7.9,20.1,29.36482803,66.66864573,18.00907138,0,7.274137263,9.2,3.123957754,4.444598819,83.99467068,80.49704088,14.17208966,13.1,5795.618075,216.5,1,81.5
840,9.3,0.5196497,0.6663729,582,280,436,19103,41.679755,-91.55831,12.18441805,2.843841341,3.270207576,9.842845327,51128,61395,7443.42,3118,14.44233639,24.7,7.9,16.9,26.66153254,91.57867392,24.84138496,27.27272727,5.393134982,6.1,2.488013477,5.500299057,270.9397203,46.29565459,19.15200722,18.7,4473.543135,597.6,0.927344782,28.7
841,10,0.4601419,0.3908723,2271,1867,2567,19105,42.136467,-91.198513,12.29230366,2.844563161,3.123067135,7.608695652,3248.197162,58689,9429.58,3626,15.68407395,39.5,8.2,26.4,26.04869483,76.88244985,20.65663915,28.57142857,4.688005173,10.1,3.666761661,3.638786798,235.0347809,76.09310675,8.200734394,39.1,5657.540526,112.4,0.790517658,37
842,9.8,0.1497458,0.6675002,10119,877,3384,19107,41.325439,-92.17499,13.12986896,2.938955291,3.260513927,8.75,1716.758219,50980,8218.99,2826,15.56984245,34.6,7.8,24.4,27.98262352,55.50375797,19.88715099,22.22222222,6.128098654,10.1,3.601694915,4.248441716,136.1952495,86.28296892,10.93210587,35.1,6918.904884,196.8,0.984764089,69.22447607
843,8.3,0.518346,0.8986986,2519,3000,1875,19109,43.147016,-94.22057,11.8802585,2.851149278,3.123175648,6,2643.151164,55491,8790.54,4489,13.6231413,36.3,7.6,25,26.83768584,64.02882326,21.08720398,8.333333333,4.397968844,10.6,2.405222769,3.997316787,158.035097,75.17706176,7.955390335,15.1,4682.047871,118.7,0.77577548,34.4
844,10.7,0.5027005,0.506085,1648,1372,2450,19111,40.55857,-91.396226,14.94394117,3.323694489,3.470015331,8.918918919,4585.526446,50481,7991.84,4417,17.36914036,37.5,7.5,27.5,29.89760415,77.0258212,19.04359812,32.25806452,4.293555907,12.3,5.5108857,4.014106656,480.2107828,104.5911515,11.24219292,20.1,9478.696166,239.4,1,110.2
845,9.7,0.5175019,0.7215779,1642,593,1367,19113,42.009607,-91.647251,12.1750837,3.013099296,3.396225688,11.48622429,51672,63754,8763.41,4021,14.66959012,33,8.3,23,27.2527713,92.14822039,20.74725042,23.88059702,3.567997582,9.9,3.36926654,3.955513044,225.771176,62.84366207,10.95396244,15.3,5840.288211,550.2,0.942890334,56.5
846,10.5,0.4589821,0.632532,11142,2796,2796,19115,41.22579,-91.259929,14.07694871,2.967812957,3.087829315,14.13043478,1125.983363,56067,7916.48,3139,15.836068,35.8,9,27.1,27.75197209,64.8897866,19.6266529,38.46153846,7.896751613,9.4,3.304146704,3.817002129,156.1454383,82.2103871,12.99303944,40.3,7652.383718,241.4,0.480259951,18.8
